0,굶는다
1,행원파크
2,공씨네 주먹밥
3,노천 피자
4,다케오
5,치플레옹
6,맘스터치
7,우동가조쿠
8,구공탄
9,호코리
10,이돈집
11,남도순대국
12,금룡
13,대연각
14,써브웨이
15,밸런스버거
16,도스마스
17,생과대
18,족발
19,진국
20,맥도날드
21,정성찬 집밥
22,궁채
23,밥버거
24,한솥 도시락
25,하쿠나마타타
26,조씨네 고기국수
27,육쌈냉면
28,피자
29,노랑 통닭
30,통닭
31,떡볶이
